Date,Open,High,Low,Close,Adj Close
03/01/1995,0.347098,0.347098,0.33817,0.342634,0.290447
04/01/1995,0.344866,0.353795,0.344866,0.351563,0.298016
05/01/1995,0.350446,0.351563,0.345982,0.347098,0.294231
06/01/1995,0.371652,0.385045,0.367188,0.375,0.317883
09/01/1995,0.371652,0.373884,0.366071,0.367885,0.311852
10/01/1995,0.368304,0.392857,0.368304,0.390067,0.330655
11/01/1995,0.390625,0.429129,0.381138,0.417411,0.353834
12/01/1995,0.41183,0.414063,0.399554,0.405134,0.343427
13/01/1995,0.41183,0.41183,0.396205,0.40067,0.339643
16/01/1995,0.40067,0.404018,0.395089,0.397321,0.336804
17/01/1995,0.397321,0.40625,0.393973,0.401786,0.340589
18/01/1995,0.401786,0.407366,0.399554,0.407366,0.345319
19/01/1995,0.40625,0.410714,0.401786,0.409598,0.347211
20/01/1995,0.419643,0.419643,0.379464,0.38058,0.322613
23/01/1995,0.373884,0.38058,0.366071,0.377232,0.319775
24/01/1995,0.377232,0.378348,0.36942,0.371652,0.315045
25/01/1995,0.352679,0.375,0.352679,0.365932,0.310196
26/01/1995,0.364955,0.370536,0.350446,0.352679,0.298962
27/01/1995,0.356027,0.360491,0.348214,0.356027,0.3018
30/01/1995,0.358259,0.361607,0.356027,0.358259,0.303692
31/01/1995,0.361607,0.364955,0.357143,0.360491,0.305584
01/02/1995,0.363839,0.363839,0.356027,0.358259,0.303692
02/02/1995,0.358259,0.373884,0.358259,0.371652,0.315045
03/02/1995,0.375,0.376116,0.360491,0.361607,0.30653
06/02/1995,0.363839,0.363839,0.352679,0.361607,0.30653
07/02/1995,0.360491,0.366071,0.357143,0.364397,0.308895
08/02/1995,0.366071,0.378348,0.364955,0.37779,0.320248
09/02/1995,0.376116,0.391741,0.376116,0.389509,0.330182
10/02/1995,0.389509,0.394531,0.387277,0.390625,0.331128
13/02/1995,0.388393,0.397321,0.386161,0.390625,0.332039
14/02/1995,0.390625,0.393973,0.38058,0.383371,0.325872
15/02/1995,0.386161,0.388393,0.379464,0.380022,0.323026
16/02/1995,0.385045,0.386161,0.38058,0.385603,0.32777
17/02/1995,0.382813,0.383929,0.379464,0.379464,0.322552
21/02/1995,0.38058,0.381696,0.364955,0.366071,0.311167
